topic,pmid,human
CD008760,12510456,0
CD008760,17912188,0
CD008760,18028926,0
CD008760,18477965,0
CD008760,18478132,0
CD008760,18790434,0
CD008760,18790438,0
CD008760,20054320,0
CD008760,20135731,0
CD008760,21429016,0
CD008760,21624583,0
CD008760,22379346,0
CD010860,12210243,0
CD010860,12859363,0
CD010860,14518050,0
CD010860,15217776,0
CD010860,15694996,0
CD010860,15943212,0
CD010860,15961323,0
CD010860,16350786,0
CD010860,16386666,0
CD010860,16670243,0
CD010860,16844966,0
CD010860,17206187,0
CD010860,17447100,0
CD010860,17908348,0
CD010860,18198975,0
CD010860,18533066,0
CD010860,18654937,0
CD010860,18997295,0
CD010860,19212721,0
CD010860,19555140,0
CD010860,19842783,0
CD010860,20164591,0
CD010860,20350331,0
CD010860,20394408,0
CD010860,20638142,0
CD010860,20684520,0
CD010860,21131671,0
CD010860,21314650,0
CD010860,21486736,0
CD010860,21695696,0
CD010860,21920479,0
CD010860,22150245,0
CD010860,22172089,0
CD010860,22310499,0
CD010860,22328005,0
CD010860,22472702,0
CD010860,22626912,0
CD010860,22638676,0
CD010860,22646750,0
CD010860,22700858,0
CD010860,22851064,0
CD010860,22873491,0
CD010860,23076515,0
CD010860,23178745,0
CD010860,8733925,0
CD010860,8900595,0
CD010860,9674026,0
CD010705,16081898,0
CD010705,16455882,0
CD010705,16825346,0
CD010705,16964801,0
CD010705,17021094,0
CD010705,17537937,0
CD010705,18614561,0
CD010705,18701663,0
CD010705,18829680,0
CD010705,18926042,0
CD010705,19146757,0
CD010705,19401789,0
CD010705,19457256,0
CD010705,19520715,0
CD010705,19553580,0
CD010705,19621606,0
CD010705,20187922,0
CD010705,20487550,0
CD010705,20487620,0
CD010705,20504986,0
CD010705,20852939,0
CD010705,20881173,0
CD010705,21050678,0
CD010705,21333101,0
CD010705,21682972,0
CD010705,21814495,0
CD010705,21922778,0
CD010705,22037774,0
CD010705,22347495,0
CD010705,22361762,0
CD010705,22442316,0
CD010705,22510913,0
CD010705,22515295,0
CD010705,22569696,0
CD010705,22740709,0
CD010705,22790204,0
CD010705,22829789,0
CD010705,22972826,0
CD010705,23146620,0
CD010705,23226229,0
CD010705,23267627,0
CD010705,23383320,0
CD010705,23392466,0
CD010705,23638265,0
CD010705,23689727,0
CD010705,23808160,0
CD010705,23862246,0
CD010705,24046537,0
CD010705,24056651,0
CD010705,24098523,0
CD010705,24172155,0
CD010896,21143707,0
CD010896,21150861,0
CD010896,21411339,0
CD010896,21434859,0
CD010896,21590591,0
CD010896,21699607,0
CD010896,21721045,0
CD010896,21729421,0
CD010896,21762928,0
CD010896,21779719,0
CD010896,21810889,0
CD010896,21813038,0
CD010896,21879994,0
CD010896,21896306,0
CD010896,21914569,0
CD010896,21915510,0
CD010896,21920750,0
CD010896,21921445,0
CD010896,21951956,0
CD010896,21951957,0
CD010896,21951958,0
CD010896,21962800,0
CD010896,21971454,0
CD010896,21971457,0
CD010896,22009380,0
CD010896,22024052,0
CD010896,22038765,0
CD010896,22042522,0
CD010896,22050286,0
CD010896,22057225,0
CD010896,22085955,0
CD010896,22095040,0
CD010896,22119021,0
CD010896,22129783,0
CD010896,22135130,0
CD010896,22151238,0
CD010896,22163355,0
CD010896,22166447,0
CD010896,22173295,0
CD010896,22179564,0
CD010896,22188660,0
CD010896,22215142,0
CD010896,22217392,0
CD010896,22226025,0
CD010896,22231337,0
CD010896,22284733,0
CD010896,22318093,0
CD010896,22353375,0
CD010896,22354229,0
CD010896,22382657,0
CD010896,22406443,0
CD010896,22410450,0
CD010896,22416826,0
CD010896,22416830,0
CD010896,22495081,0
CD010896,22504315,0
CD010896,22512772,0
CD010896,22531416,0
CD010896,22560011,0
CD010896,22596272,0
CD010896,22613760,0
CD010896,22672770,0
CD010896,22691528,0
CD010896,22703622,0
CD010896,22704835,0
CD010896,22710605,0
CD010896,22714610,0
CD010896,22722670,0
CD010896,22733085,0
CD010896,22735249,0
CD010896,22742818,0
CD010896,22772875,0
CD010896,22785390,0
CD010896,22785519,0
CD010896,22787842,0
CD010896,22787845,0
CD010896,22797130,0
CD010896,22849990,0
CD010896,22868886,0
CD010896,22869920,0
CD010896,22869921,0
CD010896,22879086,0
CD010896,22901967,0
CD010896,22915704,0
CD010896,22922592,0
CD010896,22939818,0
CD010896,22941841,0
CD010896,22980226,0
CD010896,22989905,0
CD010896,22994615,0
CD010896,23026363,0
CD010896,23031250,0
CD010896,23037962,0
CD010896,23096071,0
CD010896,23115214,0
CD010896,23142262,0
CD010896,23160999,0
CD010896,23183589,0
CD010896,23186984,0
CD010896,23196944,0
CD010896,23210167,0
CD010896,23254635,0
CD010896,23273615,0
CD010896,23300102,0
CD010896,23314407,0
CD010896,23334141,0
CD010896,23357822,0
CD010896,23361395,0
CD010896,23377408,0
CD010896,23392204,0
CD010896,23399676,0
CD010896,23402204,0
CD010896,23402681,0
CD010896,23403263,0
CD010896,23411076,0
CD010896,23412372,0
CD010896,23429844,0
CD010896,23529520,0
CD010896,23568100,0
CD010896,23572209,0
CD010896,23593396,0
CD010896,23660005,0
CD010896,23777101,0
