topic,pmid,human
CD010772,10364647,0
CD010772,10396468,0
CD010772,10556864,0
CD010772,10650597,0
CD010772,10726292,0
CD010772,10773648,0
CD010772,10818539,0
CD010772,10867444,0
CD010772,10884443,0
CD010772,10921301,0
CD010772,10939786,0
CD010772,11060503,0
CD010772,11180481,0
CD010772,11268764,0
CD010772,11306771,0
CD010772,11333429,0
CD010772,11370580,0
CD010772,11460955,0
CD010772,11483232,0
CD010772,11563209,0
CD010772,11591838,1
CD010772,11892968,0
CD010772,11921154,0
CD010772,11993183,0
CD010772,12110070,0
CD010772,12211118,0
CD010772,12218256,0
CD010772,12221476,0
CD010772,12383158,0
CD010772,12417367,0
CD010772,12420650,0
CD010772,12464719,0
CD010772,12492785,0
CD010772,12527986,0
CD010772,12585017,0
CD010772,12611290,0
CD010772,12707073,0
CD010772,12751884,0
CD010772,12780471,0
CD010772,12810891,0
CD010772,12810892,0
CD010772,12833228,0
CD010772,12849924,0
CD010772,14618554,0
CD010772,14631083,0
CD010772,14665510,0
CD010772,14687382,0
CD010772,14716724,0
CD010772,14872021,0
CD010772,14976325,0
CD010772,15026497,0
CD010772,15037691,0
CD010772,15137556,0
CD010772,15164195,0
CD010772,15164196,0
CD010772,15171906,0
CD010772,15211065,0
CD010772,15273881,0
CD010772,15286455,0
CD010772,1539193,0
CD010772,15450055,0
CD010772,15459515,0
CD010772,15550013,0
CD010772,15567563,0
CD010772,15596427,0
CD010772,15660412,0
CD010772,15668631,0
CD010772,15691286,0
CD010772,1576226,0
CD010772,15880157,0
CD010772,15935385,0
CD010772,15948064,0
CD010772,16021351,0
CD010772,16024900,0
CD010772,16093227,0
CD010772,16108937,0
CD010772,16117717,0
CD010772,16158009,0
CD010772,16172733,0
CD010772,16175157,0
CD010772,16246261,0
CD010772,16252378,0
CD010772,16291888,0
CD010772,1631382,0
CD010772,16340916,0
CD010772,16421116,1
CD010772,16606455,0
CD010772,16640797,0
CD010772,16670248,0
CD010772,16952914,0
CD010772,16977673,0
CD010772,16982570,0
CD010772,16988506,0
CD010772,17158334,0
CD010772,17173353,0
CD010772,17215737,0
CD010772,17292021,0
CD010772,17296602,0
CD010772,17334275,0
CD010772,17435186,0
CD010772,17502007,0
CD010772,17519320,0
CD010772,17535315,0
CD010772,1776585,0
CD010772,17946417,0
CD010772,18040903,0
CD010772,18074751,0
CD010772,18384589,0
CD010772,18436874,0
CD010772,18474717,0
CD010772,18500166,0
CD010772,18678573,0
CD010772,18839800,0
CD010772,1885862,0
CD010772,19020293,0
CD010772,19051092,0
CD010772,19142405,0
CD010772,19202338,0
CD010772,19210282,0
CD010772,19296552,0
CD010772,19347685,0
CD010772,19421962,0
CD010772,19494491,0
CD010772,19507163,0
CD010772,19546654,0
CD010772,19547806,0
CD010772,19547946,0
CD010772,19632119,0
CD010772,19768699,0
CD010772,19814841,0
CD010772,19823990,0
CD010772,19838514,0
CD010772,19864908,0
CD010772,19891815,0
CD010772,19896583,0
CD010772,19960482,0
CD010772,20055769,0
CD010772,20102571,0
CD010772,20164591,0
CD010772,20484096,0
CD010772,20497240,0
CD010772,20537725,0
CD010772,20629169,0
CD010772,20665557,0
CD010772,20709565,0
CD010772,20733304,0
CD010772,20738811,0
CD010772,20823087,0
CD010772,20837251,0
CD010772,20849652,0
CD010772,20852266,0
CD010772,20933286,0
CD010772,21045491,0
CD010772,21059967,0
CD010772,21113824,0
CD010772,21131671,0
CD010772,21140955,0
CD010772,21212674,1
CD010772,21287528,0
CD010772,21307355,0
CD010772,21412847,0
CD010772,21414692,0
CD010772,21491631,0
CD010772,21621310,0
CD010772,21729284,0
CD010772,21780182,0
CD010772,21834788,0
CD010772,21856971,0
CD010772,21893322,0
CD010772,21915487,0
CD010772,21970520,0
CD010772,21989903,0
CD010772,22014176,0
CD010772,22086219,0
CD010772,22121012,0
CD010772,2214305,0
CD010772,22170358,0
CD010772,22421024,0
CD010772,22460967,0
CD010772,22717233,0
CD010772,22785401,0
CD010772,22882809,0
CD010772,23083384,0
CD010772,23092715,0
CD010772,23172761,0
CD010772,23208022,0
CD010772,2560521,0
CD010772,2642498,0
CD010772,2651606,0
CD010772,2807680,0
CD010772,3294349,0
CD010772,3368071,0
CD010772,3571790,0
CD010772,3611032,0
CD010772,3619711,0
CD010772,3660917,0
CD010772,3772624,0
CD010772,6692189,0
CD010772,7100362,0
CD010772,7629532,0
CD010772,7824143,1
CD010772,7935963,0
CD010772,8080391,0
CD010772,8090234,0
CD010772,8102356,0
CD010772,8227899,0
CD010772,8255833,0
CD010772,8440847,0
CD010772,8455053,0
CD010772,8503262,0
CD010772,8563660,0
CD010772,8618670,0
CD010772,8623028,0
CD010772,8660155,1
CD010772,8665726,0
CD010772,8701446,0
CD010772,8829727,1
CD010772,8908414,0
CD010772,8970013,0
CD010772,9050430,0
CD010772,9063339,0
CD010772,9071438,0
CD010772,9097207,0
CD010772,9097213,1
CD010772,9180766,0
CD010772,9291882,0
CD010772,9305029,0
CD010772,9412627,0
CD010772,9472135,0
CD010772,9526793,0
CD010772,9810931,0
CD010772,9859120,0
CD010772,9884005,0
CD010772,9894327,0
CD010772,9932934,0
CD010772,9988290,0
